Visitor/Neutral,PTS,Win,Home/Neutral,PTS,Win,Visitor Seed,Home Seed,Year
Minnesota Timberwolves,110,FALSE,Dallas Mavericks,122,TRUE,5,4,2002
Philadelphia 76ers,85,FALSE,Boston Celtics,93,TRUE,6,3,2002
Portland Trail Blazers,96,FALSE,Los Angeles Lakers,103,TRUE,6,3,2002
New Jersey Nets,85,TRUE,Indiana Pacers,84,FALSE,1,8,2002
Charlotte Hornets,110,TRUE,Orlando Magic,100,FALSE,4,5,2002
Sacramento Kings,90,TRUE,Utah Jazz,87,FALSE,1,8,2002
San Antonio Spurs,102,TRUE,Seattle SuperSonics,75,FALSE,2,7,2002
Detroit Pistons,84,FALSE,Toronto Raptors,94,TRUE,2,7,2002
Boston Celtics,103,FALSE,Philadelphia 76ers,108,TRUE,3,6,2002
Dallas Mavericks,115,TRUE,Minnesota Timberwolves,102,FALSE,4,5,2002
Los Angeles Lakers,92,TRUE,Portland Trail Blazers,91,FALSE,3,6,2002
Detroit Pistons,83,FALSE,Toronto Raptors,89,TRUE,2,7,2002
Sacramento Kings,91,TRUE,Utah Jazz,86,FALSE,1,8,2002
Charlotte Hornets,102,TRUE,Orlando Magic,85,FALSE,4,5,2002
New Jersey Nets,74,FALSE,Indiana Pacers,97,TRUE,1,8,2002
Boston Celtics,81,FALSE,Philadelphia 76ers,83,TRUE,3,6,2002
San Antonio Spurs,79,FALSE,Seattle SuperSonics,91,TRUE,2,7,2002
Indiana Pacers,109,FALSE,New Jersey Nets,120,TRUE,8,1,2002
Toronto Raptors,82,FALSE,Detroit Pistons,85,TRUE,7,2,2002
Philadelphia 76ers,87,FALSE,Boston Celtics,120,TRUE,6,3,2002
Seattle SuperSonics,78,FALSE,San Antonio Spurs,101,TRUE,7,2,2002
Dallas Mavericks,91,FALSE,Sacramento Kings,108,TRUE,4,1,2002
Charlotte Hornets,93,FALSE,New Jersey Nets,99,TRUE,4,1,2002
Boston Celtics,84,FALSE,Detroit Pistons,96,TRUE,3,2,2002
San Antonio Spurs,80,FALSE,Los Angeles Lakers,86,TRUE,2,3,2002
Dallas Mavericks,110,TRUE,Sacramento Kings,102,FALSE,4,1,2002
Charlotte Hornets,88,FALSE,New Jersey Nets,102,TRUE,4,1,2002
San Antonio Spurs,88,TRUE,Los Angeles Lakers,85,FALSE,2,3,2002
Boston Celtics,85,TRUE,Detroit Pistons,77,FALSE,3,2,2002
New Jersey Nets,97,FALSE,Charlotte Hornets,115,TRUE,1,4,2002
Sacramento Kings,125,TRUE,Dallas Mavericks,119,FALSE,1,4,2002
Detroit Pistons,64,FALSE,Boston Celtics,66,TRUE,2,3,2002
Los Angeles Lakers,99,TRUE,San Antonio Spurs,89,FALSE,3,2,2002
Sacramento Kings,115,TRUE,Dallas Mavericks,113,FALSE,1,4,2002
New Jersey Nets,89,TRUE,Charlotte Hornets,79,FALSE,1,4,2002
Detroit Pistons,79,FALSE,Boston Celtics,90,TRUE,2,3,2002
Los Angeles Lakers,87,TRUE,San Antonio Spurs,85,FALSE,3,2,2002
Dallas Mavericks,101,FALSE,Sacramento Kings,114,TRUE,4,1,2002
Boston Celtics,90,TRUE,Detroit Pistons,81,FALSE,3,2,2002
San Antonio Spurs,87,FALSE,Los Angeles Lakers,93,TRUE,2,3,2002
Charlotte Hornets,95,FALSE,New Jersey Nets,103,TRUE,4,1,2002
Los Angeles Lakers,106,TRUE,Sacramento Kings,99,FALSE,3,1,2002
Boston Celtics,97,FALSE,New Jersey Nets,104,TRUE,3,1,2002
Los Angeles Lakers,90,FALSE,Sacramento Kings,96,TRUE,3,1,2002
Boston Celtics,93,TRUE,New Jersey Nets,86,FALSE,3,1,2002
Sacramento Kings,103,TRUE,Los Angeles Lakers,90,FALSE,1,3,2002
New Jersey Nets,90,FALSE,Boston Celtics,94,TRUE,1,3,2002
Sacramento Kings,99,FALSE,Los Angeles Lakers,100,TRUE,1,3,2002
New Jersey Nets,94,TRUE,Boston Celtics,92,FALSE,1,3,2002
Los Angeles Lakers,91,FALSE,Sacramento Kings,92,TRUE,3,1,2002
Boston Celtics,92,FALSE,New Jersey Nets,103,TRUE,3,1,2002
New Jersey Nets,96,TRUE,Boston Celtics,88,FALSE,1,3,2002
Sacramento Kings,102,FALSE,Los Angeles Lakers,106,TRUE,1,3,2002
Los Angeles Lakers,112,TRUE,Sacramento Kings,106,FALSE,3,1,2002
New Jersey Nets,94,FALSE,Los Angeles Lakers,99,TRUE,1,3,2002
New Jersey Nets,83,FALSE,Los Angeles Lakers,106,TRUE,1,3,2002
Los Angeles Lakers,106,TRUE,New Jersey Nets,103,FALSE,3,1,2002
Los Angeles Lakers,113,TRUE,New Jersey Nets,107,FALSE,3,1,2002
