2020,Eastern Conf First Round,,Toronto Raptors (2),4,,Brooklyn Nets (7),0,4
2020,Eastern Conf First Round,,Boston Celtics (3),4,,Philadelphia 76ers (6),0,4
2020,Eastern Conf First Round,,Miami Heat (5),4,,Indiana Pacers (4),0,4
2020,Western Conf First Round,,Los Angeles Lakers (1),4,,Portland Trail Blazers (8),1,5
2020,Western Conf First Round,,Los Angeles Clippers (2),4,,Dallas Mavericks (7),2,6
2020,Western Conf First Round,,Denver Nuggets (3),4,,Utah Jazz (6),3,7
2020,Western Conf First Round,,Houston Rockets (4),4,,Oklahoma City Thunder (5),3,7
2020,Eastern Conf Semifinals,,Boston Celtics (3),4,,Toronto Raptors (2),3,7
2020,Eastern Conf Semifinals,,Miami Heat (5),4,,Milwaukee Bucks (1),1,5
2020,Western Conf Semifinals,,Denver Nuggets (3),4,,Los Angeles Clippers (2),3,7
2020,Western Conf Semifinals,,Los Angeles Lakers (1),4,,Houston Rockets (4),1,5
2020,Eastern Conf Finals,,Miami Heat (5),4,,Boston Celtics (3),2,6
2020,Western Conf Finals,,Los Angeles Lakers (1),4,,Denver Nuggets (3),1,5
2020,Finals,,Los Angeles Lakers (1),4,,Miami Heat (5),2,6
,,,,,,,,0
2019,Eastern Conf First Round,,Milwaukee Bucks (1),4,,Detroit Pistons (8),0,4
2019,Eastern Conf First Round,,Toronto Raptors (2),4,,Orlando Magic (7),1,5
2019,Eastern Conf First Round,,Philadelphia 76ers (3),4,,Brooklyn Nets (6),1,5
2019,Eastern Conf First Round,,Boston Celtics (4),4,,Indiana Pacers (5),0,4
2019,Western Conf First Round,,Golden State Warriors (1),4,,Los Angeles Clippers (8),2,6
2019,Western Conf First Round,,Denver Nuggets (2),4,,San Antonio Spurs (7),3,7
2019,Western Conf First Round,,Portland Trail Blazers (3),4,,Oklahoma City Thunder (6),1,5
2019,Western Conf First Round,,Houston Rockets (4),4,,Utah Jazz (5),1,5
2019,Eastern Conf Semifinals,,Milwaukee Bucks (1),4,,Boston Celtics (4),1,5
2019,Eastern Conf Semifinals,,Toronto Raptors (2),4,,Philadelphia 76ers (3),3,7
2019,Western Conf Semifinals,,Golden State Warriors (1),4,,Houston Rockets (4),2,6
2019,Western Conf Semifinals,,Portland Trail Blazers (3),4,,Denver Nuggets (2),3,7
2019,Eastern Conf Finals,,Toronto Raptors (2),4,,Milwaukee Bucks (1),2,6
2019,Western Conf Finals,,Golden State Warriors (1),4,,Portland Trail Blazers (3),0,4
2019,Finals,,Toronto Raptors (2),4,,Golden State Warriors (1),2,6
,,,,,,,,0
2018,Eastern Conf First Round,,Toronto Raptors (1),4,,Washington Wizards (8),2,6
2018,Eastern Conf First Round,,Boston Celtics (2),4,,Milwaukee Bucks (7),3,7
2018,Eastern Conf First Round,,Philadelphia 76ers (3),4,,Miami Heat (6),1,5
2018,Eastern Conf First Round,,Cleveland Cavaliers (4),4,,Indiana Pacers (5),3,7
2018,Western Conf First Round,,Houston Rockets (1),4,,Minnesota Timberwolves (8),1,5
2018,Western Conf First Round,,Golden State Warriors (2),4,,San Antonio Spurs (7),1,5
2018,Western Conf First Round,,New Orleans Pelicans (6),4,,Portland Trail Blazers (3),0,4
2018,Western Conf First Round,,Utah Jazz (5),4,,Oklahoma City Thunder (4),2,6
2018,Western Conf Semifinals,,Golden State Warriors (2),4,,New Orleans Pelicans (6),1,5
2018,Western Conf Semifinals,,Houston Rockets (1),4,,Utah Jazz (5),1,5
2018,Eastern Conf Semifinals,,Boston Celtics (2),4,,Philadelphia 76ers (3),1,5
2018,Eastern Conf Semifinals,,Cleveland Cavaliers (4),4,,Toronto Raptors (1),0,4
2018,Eastern Conf Finals,,Cleveland Cavaliers (4),4,,Boston Celtics (2),3,7
2018,Western Conf Finals,,Golden State Warriors (2),4,,Houston Rockets (1),3,7
2018,Finals,,Golden State Warriors (2),4,,Cleveland Cavaliers (4),0,4
Yr,Series,,Team,W,,Team,W,0
2017,Eastern Conf First Round,,Boston Celtics (1),4,,Chicago Bulls (8),2,6
2017,Eastern Conf First Round,,Cleveland Cavaliers (2),4,,Indiana Pacers (7),0,4
2017,Eastern Conf First Round,,Toronto Raptors (3),4,,Milwaukee Bucks (6),2,6
2017,Eastern Conf First Round,,Washington Wizards (4),4,,Atlanta Hawks (5),2,6
2017,Western Conf First Round,,Golden State Warriors (1),4,,Portland Trail Blazers (8),0,4
2017,Western Conf First Round,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),2,6
2017,Western Conf First Round,,Houston Rockets (3),4,,Oklahoma City Thunder (6),1,5
2017,Western Conf First Round,,Utah Jazz (5),4,,Los Angeles Clippers (4),3,7
2017,Eastern Conf Semifinals,,Cleveland Cavaliers (2),4,,Toronto Raptors (3),0,4
2017,Eastern Conf Semifinals,,Boston Celtics (1),4,,Washington Wizards (4),3,7
2017,Western Conf Semifinals,,Golden State Warriors (1),4,,Utah Jazz (5),0,4
2017,Western Conf Semifinals,,San Antonio Spurs (2),4,,Houston Rockets (3),2,6
2017,Western Conf Finals,,Golden State Warriors (1),4,,San Antonio Spurs (2),0,4
2017,Eastern Conf Finals,,Cleveland Cavaliers (2),4,,Boston Celtics (1),1,5
2017,Finals,,Golden State Warriors (1),4,,Cleveland Cavaliers (2),1,5
,,,,,,,,0
2016,Eastern Conf First Round,,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0,4
2016,Eastern Conf First Round,,Toronto Raptors (2),4,,Indiana Pacers (7),3,7
2016,Eastern Conf First Round,,Miami Heat (3),4,,Charlotte Hornets (6),3,7
2016,Eastern Conf First Round,,Atlanta Hawks (4),4,,Boston Celtics (5),2,6
2016,Western Conf First Round,,Golden State Warriors (1),4,,Houston Rockets (8),1,5
2016,Western Conf First Round,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),0,4
2016,Western Conf First Round,,Oklahoma City Thunder (3),4,,Dallas Mavericks (6),1,5
2016,Western Conf First Round,,Portland Trail Blazers (5),4,,Los Angeles Clippers (4),2,6
2016,Eastern Conf Semifinals,,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0,4
2016,Eastern Conf Semifinals,,Toronto Raptors (2),4,,Miami Heat (3),3,7
2016,Western Conf Semifinals,,Golden State Warriors (1),4,,Portland Trail Blazers (5),1,5
2016,Western Conf Semifinals,,Oklahoma City Thunder (3),4,,San Antonio Spurs (2),2,6
2016,Eastern Conf Finals,,Cleveland Cavaliers (1),4,,Toronto Raptors (2),2,6
2016,Western Conf Finals,,Golden State Warriors (1),4,,Oklahoma City Thunder (3),3,7
2016,Finals,,Cleveland Cavaliers (1),4,,Golden State Warriors (1),3,7
,,,,,,,,0
2015,Eastern Conf First Round,,Atlanta Hawks (1),4,,Brooklyn Nets (8),2,6
2015,Eastern Conf First Round,,Cleveland Cavaliers (2),4,,Boston Celtics (7),0,4
2015,Eastern Conf First Round,,Chicago Bulls (3),4,,Milwaukee Bucks (6),2,6
2015,Eastern Conf First Round,,Washington Wizards (5),4,,Toronto Raptors (4),0,4
2015,Western Conf First Round,,Golden State Warriors (1),4,,New Orleans Pelicans (8),0,4
2015,Western Conf First Round,,Houston Rockets (2),4,,Dallas Mavericks (7),1,5
2015,Western Conf First Round,,Los Angeles Clippers (3),4,,San Antonio Spurs (6),3,7
2015,Western Conf First Round,,Memphis Grizzlies (5),4,,Portland Trail Blazers (4),1,5
2015,Eastern Conf Semifinals,,Cleveland Cavaliers (2),4,,Chicago Bulls (3),2,6
2015,Eastern Conf Semifinals,,Atlanta Hawks (1),4,,Washington Wizards (5),2,6
2015,Western Conf Semifinals,,Houston Rockets (2),4,,Los Angeles Clippers (3),3,7
