Visitor/Neutral,PTS,Win,Home/Neutral,PTS.1,Win.1,Visitor Seed,Home Seed,Year,Visitor_id,Visitor win_pct,Visitor off_rtg,Visitor def_rtg,Visitor net_rtg,Visitor pace,Visitor efg_pct,Visitor ts_pct,Visitor tov_pct,Visitor orb_pct,Visitor drb_pct,Home_id,Home win_pct,Home off_rtg,Home def_rtg,Home net_rtg,Home pace,Home efg_pct,Home ts_pct,Home tov_pct,Home orb_pct,Home drb_pct
San Antonio Spurs,97,1,Minnesota Timberwolves,84,0,1,8,2001,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703,1610612750,0.573,103.9,102.4,1.6,92.99,0.482,0.523,0.148,0.315,0.682
Milwaukee Bucks,112,1,Orlando Magic,104,0,2,7,2001,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683,1610612753,0.524,102.1,101.1,1,94.14,0.474,0.513,0.159,0.321,0.662
Utah Jazz,77,0,Dallas Mavericks,107,1,4,5,2001,1610612762,0.646,106.1,100.9,5.2,91.08,0.497,0.546,0.173,0.332,0.701,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678
New York Knicks,93,0,Toronto Raptors,100,1,4,5,2001,1610612752,0.585,100,97,3,87.74,0.476,0.523,0.163,0.276,0.707,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7
Philadelphia 76ers,88,1,Indiana Pacers,85,0,1,8,2001,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704,1610612754,0.5,100.3,100.5,-0.2,90.89,0.471,0.519,0.164,0.297,0.685
Sacramento Kings,89,1,Phoenix Suns,82,0,3,6,2001,1610612758,0.671,104.2,98.5,5.7,95.61,0.484,0.529,0.152,0.307,0.679,1610612756,0.622,98.9,96.7,2.3,94.41,0.46,0.506,0.161,0.305,0.702
Dallas Mavericks,84,1,Utah Jazz,83,0,5,4,2001,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678,1610612762,0.646,106.1,100.9,5.2,91.08,0.497,0.546,0.173,0.332,0.701
Toronto Raptors,93,1,New York Knicks,89,0,5,4,2001,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7,1610612752,0.585,100,97,3,87.74,0.476,0.523,0.163,0.276,0.707
Dallas Mavericks,78,0,San Antonio Spurs,94,1,5,1,2001,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703
Charlotte Hornets,92,0,Milwaukee Bucks,104,1,6,2,2001,1610612766,0.561,99.7,97.6,2.1,91.24,0.457,0.506,0.156,0.315,0.71,1610612749,0.634,106.8,102.6,4.2,93.89,0.499,0.542,0.145,0.301,0.683
Sacramento Kings,105,0,Los Angeles Lakers,108,1,3,2,2001,1610612758,0.671,104.2,98.5,5.7,95.61,0.484,0.529,0.152,0.307,0.679,1610612747,0.683,107,103.6,3.5,92.9,0.498,0.535,0.154,0.338,0.691
Toronto Raptors,96,1,Philadelphia 76ers,93,0,5,1,2001,1610612761,0.573,104.4,102,2.3,92.22,0.468,0.51,0.141,0.339,0.7,1610612755,0.683,101.9,97.3,4.6,92.09,0.468,0.518,0.17,0.334,0.704
Dallas Mavericks,86,0,San Antonio Spurs,100,1,5,1,2001,1610612742,0.646,105.6,101.2,4.4,94.52,0.498,0.544,0.146,0.272,0.678,1610612759,0.707,105,96.6,8.3,90.87,0.496,0.541,0.152,0.297,0.703
