team_id,team,win_pct,off_rtg,def_rtg,net_rtg,pace,efg_pct,ts_pct,tov_pct,orb_pct,drb_pct,is_champion,season_end
1610612758,Sacramento Kings,0.744,107.9,99.7,8.1,96.74,0.497,0.539,0.142,0.306,0.69,0,2002
1610612759,San Antonio Spurs,0.707,105.4,98.5,6.9,91.06,0.492,0.539,0.157,0.301,0.685,0,2002
1610612760,Seattle SuperSonics,0.549,107.3,104.1,3.3,90.35,0.505,0.54,0.151,0.32,0.656,0,2002
1610612761,Toronto Raptors,0.512,101.1,101.7,-0.6,90.02,0.463,0.501,0.158,0.343,0.671,0,2002
1610612762,Utah Jazz,0.537,103.8,102.9,0.9,91.75,0.472,0.529,0.178,0.362,0.683,0,2002
1610612764,Washington Wizards,0.451,102.9,104.5,-1.6,89.93,0.464,0.508,0.144,0.328,0.685,0,2002
1610612737,Atlanta Hawks,0.427,100.4,104.2,-3.8,92.63,0.476,0.527,0.178,0.3,0.681,0,2003
1610612738,Boston Celtics,0.537,100,100.5,-0.6,91.95,0.47,0.514,0.151,0.266,0.691,0,2003
1610612741,Chicago Bulls,0.366,99.1,104.2,-5.1,94.76,0.471,0.512,0.177,0.307,0.672,0,2003
1610612739,Cleveland Cavaliers,0.207,95.2,105.1,-9.9,95.32,0.444,0.491,0.191,0.338,0.697,0,2003
1610612742,Dallas Mavericks,0.732,109.3,101,8.3,93.75,0.498,0.543,0.123,0.277,0.677,0,2003
1610612743,Denver Nuggets,0.207,91.2,100.1,-8.9,92.11,0.428,0.469,0.2,0.345,0.697,0,2003
1610612765,Detroit Pistons,0.61,102.4,98.2,4.2,88.26,0.473,0.523,0.151,0.294,0.707,0,2003
1610612744,Golden State Warriors,0.463,106.4,107.7,-1.3,95.88,0.472,0.526,0.164,0.371,0.663,0,2003
1610612745,Houston Rockets,0.524,102.4,100.9,1.5,90.36,0.474,0.522,0.17,0.331,0.698,0,2003
1610612754,Indiana Pacers,0.585,103.2,99.6,3.5,92.71,0.469,0.522,0.157,0.318,0.694,0,2003
1610612746,Los Angeles Clippers,0.329,101.1,105.1,-4,92.68,0.467,0.516,0.17,0.316,0.673,0,2003
